evening indoor mobility,day,uid
0.061523485,132,u07
0.049126867,133,u07
0,86,u52
0.043772823,88,u52
0.165006258,89,u52
0.025583734,90,u52
0.229583975,91,u52
1.699968344,92,u52
0.784966194,93,u52
0.243399609,94,u52
0.028737542,95,u52
0.016876175,96,u52
0.033649698,97,u52
0.028916048,98,u52
0.052187298,99,u52
0.02093678,100,u52
0.059731409,101,u52
0.083725798,102,u52
0.055172414,103,u52
0.053358136,104,u52
0.013245638,105,u52
0.037586381,106,u52
0.012424062,107,u52
0.03004183,108,u52
0.001891144,109,u52
0,110,u52
0.060011738,111,u52
0.037369695,112,u52
0.054274832,113,u52
0.024935388,114,u52
0.090869691,115,u52
0.04093074,116,u52
0.046102129,117,u52
0.101465052,118,u52
0.084117676,119,u52
0.158415842,120,u52
0.068290126,121,u52
0.115088821,122,u52
0.057207052,123,u52
0.020334093,124,u52
0.054897641,125,u52
0.074692134,126,u52
0.187357197,127,u52
0.105726405,128,u52
0.024755533,129,u52
0.040232979,130,u52
0.07252329,131,u52
0.029038113,132,u52
0.039519297,133,u52
0.071108061,134,u52
0.055013172,135,u52
0.038766805,136,u52
0.298645274,137,u52
0.071364571,138,u52
0.082782959,139,u52
0.124216124,140,u52
0.086641982,141,u52
0.930812685,142,u52
2,143,u52
2,144,u52
2,145,u52
0.10379169,147,u52
0.138026747,148,u52
0.082399103,149,u52
0.092226614,150,u52
0.174511832,151,u52
0.012178483,86,u22
0.074462982,87,u22
0.032108379,88,u22
0.051531332,89,u22
0,90,u22
0.000597047,91,u22
0.043695709,92,u22
0.01014219,93,u22
0.042295407,94,u22
0.089904347,95,u22
0.107328731,96,u22
0.185711355,97,u22
0.030889294,98,u22
0.06151799,99,u22
0.036299271,100,u22
0.050398284,101,u22
0.067665443,102,u22
0.246551631,103,u22
0.018775872,104,u22
0.068893427,105,u22
0.064005736,106,u22
0.059818875,107,u22
0.131678391,108,u22
0.009031469,109,u22
0.006657538,110,u22
0.04578467,111,u22
0.000401627,112,u22
0,113,u22
0.042240634,114,u22
0.007684125,117,u22
0.593169806,118,u22
0,123,u22
0.037133183,125,u22
0,126,u22
0.03544454,127,u22
0.009429447,128,u22
0.019676872,129,u22
0.18187358,130,u22
0.010004257,131,u22
0.057584035,132,u22
0.031874578,133,u22
0,134,u22
0.002813343,135,u22
0.251790354,136,u22
0.106747788,137,u22
0.05546457,138,u22
0.179089829,139,u22
0.010285495,140,u22
0.026077218,141,u22
0.051887063,142,u22
0.15952281,143,u22
0.0665144,144,u22
0.048981361,146,u22
0.08499733,147,u22
0,148,u22
0.038592845,150,u22
0.026706018,151,u22
0.197663638,91,u43
0,92,u43
0.022081278,93,u43
0.165621079,94,u43
0.496,97,u43
0.056757951,98,u43
0.076743644,99,u43
0.013758943,100,u43
0.242438563,101,u43
0.193939394,102,u43
0.059389739,103,u43
0.03279905,104,u43
0.033842795,105,u43
0.138818412,106,u43
0.034501062,107,u43
0.105505291,108,u43
0.76826673,109,u43
0.102209464,110,u43
0.029247157,111,u43
0.021879215,112,u43
0.090766635,113,u43
0.100313831,114,u43
0.046576373,115,u43
0.033119658,116,u43
0.005403925,117,u43
0.061982563,118,u43
0.02668921,119,u43
0.077543791,120,u43
0.015905947,121,u43
0,122,u43
0.093055556,123,u43
0,124,u43
0.023193726,125,u43
0.025369979,126,u43
0.01209127,127,u43
0.002259522,128,u43
0,132,u43
0.023058921,133,u43
0.00748503,134,u43
0.003286708,135,u43
0,138,u43
0.000726876,139,u43
0.012651499,140,u43
0,142,u43
0.009446023,143,u43
0.049254127,144,u43
0.034851782,145,u43
0.091604577,146,u43
0.016981886,147,u43
0.014003474,148,u43
0,90,u42
0.003973839,91,u42
0.043478261,92,u42
0.025614358,93,u42
0.01065545,94,u42
0.116927727,95,u42
0.16737269,96,u42
0.004278386,97,u42
0,98,u42
0.006572334,99,u42
0,100,u42
0.016759995,101,u42
0.005424455,102,u42
0.004524546,103,u42
0.010631001,104,u42
0.006758583,106,u42
0.011559223,108,u42
0.207642031,109,u42
0.005324429,112,u42
0.02319017,114,u42
0.008963585,116,u42
0.004398021,117,u42
0.007806139,118,u42
0.063335358,119,u42
0.00092724,120,u42
0.013487146,122,u42
0.180845892,123,u42
0.037205771,126,u42
0.017972568,127,u42
0.00150895,131,u42
0.027280386,134,u42
0.049445733,87,u41
0.014844804,88,u41
0,89,u41
0.039382284,90,u41
0.021158575,91,u41
0.032416032,93,u41
0.050175564,94,u41
0,95,u41
0,96,u41
0,98,u41
0.016821819,99,u41
0.151623217,100,u41
0,101,u41
0,102,u41
0.05787639,103,u41
0,104,u41
0.002270713,105,u41
0.065581695,106,u41
0,109,u41
0.053835327,110,u41
0.052975244,111,u41
0.021164947,112,u41
0.01498562,113,u41
0.049777418,114,u41
0.055468213,115,u41
0,116,u41
0.054166874,117,u41
